IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,[AdditionalInfo]
Cloud Services,Analytics,Azure Analysis Services,Compute Node,Standard Set,Analysis Services,Tabular,Standard S%,Microsoft.AnalysisServices,
Cloud Services,Analytics,Azure Analysis Services,Compute Node,Basic Set,Analysis Services,Tabular,Basic B%,Microsoft.AnalysisServices,
Cloud Services,Analytics,Azure Analysis Services,Compute Node,Developer Set (Hours),Analysis Services,Tabular,Developer (Hours),Microsoft.AnalysisServices,
Cloud Services,Analytics,Azure Analysis Services,Compute Node,Basic Set,Azure Analysis Services,Basic,B%,Microsoft.AnalysisServices,
Cloud Services,Analytics,Azure Analysis Services,Compute Node,Developer Set,Azure Analysis Services,Developer,Developer,Microsoft.AnalysisServices,
Cloud Services,Analytics,Azure Analysis Services,Compute Node,Standard Set,Azure Analysis Services,Standard,S%,Microsoft.AnalysisServices,
Cloud Services,Application Integration,Azure Data Factory v2,Data Movement ,Self Hosted IR,Azure Data Factory,v2,Data Movement Self Hosted IR,Microsoft.DataFactory,
Cloud Services,Application Integration,Azure Data Factory v2,Orchestration,Self Hosted IR,Azure Data Factory,v2,Orchestration Self Hosted IR,Microsoft.DataFactory,
Cloud Services,Application Integration,Azure Data Factory v2,Integration Runtime,General Usage of Integration Runtime,Azure Data Factory,v2,%,Microsoft.DataFactory,
Cloud Services,Application Integration,Azure Data Factory v2,Data Movement ,Cloud IR,Azure Data Factory,v2,Data Movement Cloud IR,Microsoft.DataFactory,
Cloud Services,Application Integration,Azure Data Factory v2,Orchestration,Cloud IR,Azure Data Factory,v2,Orchestration Cloud IR,Microsoft.DataFactory,
Cloud Services,Application Integration,Azure Data Factory v2,SSIS Runtime,SSIS STD D4 v2,Azure Data Factory,v2,SSIS STD D4 v2,Microsoft.DataFactory,
Cloud Services,Databases,Azure Database for MySQL,Managed Database Server,Compute&Storage&Backup&Data Transfer,Azure Database for MySQL,,,Microsoft.DBforMySQL,
Cloud Services,Databases,Azure Database for PostgreSQL,Managed Database Server,Compute&Storage&Backup&Data Transfer,Azure Database for PostgreSQL,,,Microsoft.DBforPostgreSQL,
Cloud Services,Application Integration,Azure Data Factory v2,Data Movement ,Cloud IR,Business Analytics,Data Factory,Data Movement Cloud,Microsoft.DataFactory,
Cloud Services,Application Integration,Azure Data Factory v2,Data Movement ,Self Hosted IR,Business Analytics,Data Factory,Data Movement On Premises,Microsoft.DataFactory,
Storage,Caching,Azure Cach for Redis,Cache Node,C-Series Node,Cache,Azure Redis Cache,,Microsoft.Cache,
Storage,Caching,Azure Cach for Redis,Cache Node,Standard C-Series,Redis Cache,,C%,Microsoft.Cache,
Storage,Caching,Azure Cach for Redis,Cache Node,Premium C-Series,Redis Cache,,___C%,Microsoft.Cache,
Storage,Storage&Content Delivery,Azure CDN,Outbound Data Transfer,Azure CDN Standard,CDN,CDN,Standard CDN Data Transfer%,Microsoft.Cdn,
Storage,Storage&Content Delivery,Azure CDN,Outbound Data Transfer,General Outbound Traffic,Content Delivery Network,Azure CDN%,%Data Transfer,Microsoft.Cdn,
Cloud Services,Compute Services,Azure Batch,Reserved Instances,License Cost,Cloud Services,Reservation,%License,Microsoft.Batch,
Cloud Services,Compute Services,Azure Virtual Machines,A-Series VM,A-Series Compute Hours,Cloud Services,A%,Compute Hours,Compute,
Cloud Services,Compute Services,Azure Virtual Machines,D-Series VM,D-Series Compute Hours,Cloud Services,D%,Compute Hours,Compute,
Cloud Services,Compute Services,Azure Virtual Machines,F-Series VM,F-Series Compute Hours,Cloud Services,F%,Compute Hours,Compute,
Cloud Services,Compute Services,Azure Virtual Machines,G-Series VM,G-Series Compute Hours,Cloud Services,G%,Compute Hours,Compute,
Cloud Services,Compute Services,Azure Virtual Machines,H-Series VM,H-Series Compute Hours,Cloud Services,H%,Compute Hours,Compute,
Cloud Services,Compute Services,Azure Virtual Machines,N-Series VM,N-Series Compute Hours,Cloud Services,N%,Compute Hours,Compute,
Storage,Storage&Content Delivery,Azure Data Box,Physical Transfer,"Device Usage, Type & Shipping Fees, Order Processing",Data Box,,,Microsoft.DataBox,
Cloud Services,Security and Identity,Azure Key Vault,Secrets Management,"Vault Operations, Vault Tier, Managed Hardware Security Module",Key Vault,,,Microsoft.KeyVault,
Cloud Services,Application Integration,Azure Scheduler,Scheduler Units (Active Job Collections),Free Scheduler Units,Scheduler,Scheduler,Free Scheduler Units,,
Cloud Services,Application Integration,Azure Scheduler,Scheduler Units (Active Job Collections),Standard Scheduler Units,Scheduler,Scheduler,Standard Scheduler Units,,
Cloud Services,Application Integration,Azure Scheduler,Scheduler Units (Active Job Collections),Free Scheduler Units,Scheduler,,Free Unit,Microsoft.Scheduler,
Cloud Services,Application Integration,Azure Scheduler,Scheduler Units (Active Job Collections),Standard Scheduler Units,Scheduler,,Standard Unit,Microsoft.Scheduler,
Cloud Services,Security and Identity,Azure Sentinel,Threat Protection (SIEM & SOAR),Free Trial,Sentinel,,Free Trial,microsoft.operationalinsights,
Cloud Services,Security and Identity,Azure Sentinel,Threat Protection (SIEM & SOAR),Log Analysis,Sentinel,,Analysis,microsoft.operationalinsights,
